,Arists,Date,Entry,Peak,Song,Weeks
359,PANIC! AT THE DISCO,4/7/2018,60,60,Say Amen (Saturday Night),2
363,SHAWN MENDES,4/7/2018,64,64,Lost In Japan,1
369,FAMOUS DEX,4/7/2018,70,29,Japan,3
385,MORGAN WALLEN featuring FLORIDA GEORGIA LINE,4/7/2018,86,83,Up Down,3
386,KEALA SETTLE & THE GREATEST SHOWMAN ENSEMBLE,4/7/2018,87,87,This Is Me,1
394,DARIUS RUCKER,4/7/2018,95,90,For The First Time,3
395,YBN NAHMIR,4/7/2018,96,96,Rubbin Off The Paint,1
398,DANIEL CAESAR featuring KALI UCHIS,4/7/2018,99,99,Get You,2
399,ALICE MERTON,4/7/2018,100,84,No Roots,3
307,LIL DICKY featuring CHRIS BROWN,3/31/2018,9,8,Freaky Friday,4
321,SHAWN MENDES,3/31/2018,72,22,In My Blood,4
347,XXXTENTACION,3/31/2018,35,35,Moonlight,4
372,LUKE COMBS,3/31/2018,84,67,One Number Away,4
373,DAN + SHAY,3/31/2018,87,66,Tequila,4
377,FOSTER THE PEOPLE,3/31/2018,86,72,Sit Next To Me,4
379,JHENE AIKO featurning SWAE LEE or RAE SREMMURD,3/31/2018,91,74,Sativa,4
391,CHRIS BROWN,3/31/2018,94,88,Tempo,3
393,OZUNA x CARDI B,3/31/2018,98,94,La Modelo,3
396,XXXTENTACION,3/31/2018,67,67,The Remedy For A Broken Heart (Why Am I So In Love),2
351,TAYLOR SWIFT,3/24/2018,84,46,Delicate,5
364,BAD WOLVES,3/24/2018,54,54,Zombie,5
374,LIL YACHTY featuring NBA YOUNGBOY,3/24/2018,63,63,NBAYoungboat,4
308,XXXTENTACION,3/17/2018,17,7,Sad!,6
337,RAE SREMMURD & JUICY J,3/17/2018,76,34,Powerglide,6
338,XXXTENTACION,3/17/2018,47,37,Changes,6
350,NICKY JAM x J BALVIN,3/17/2018,80,47,X,6
354,MEGHAN TRAINOR,3/17/2018,46,46,No Excuses,6
365,"DJ KHALED featuring JAY Z, FUTURE & BEYONCE",3/17/2018,22,22,Top Off,6
366,LOGIC & MARSHMELLO,3/17/2018,43,29,Everyday,6
382,BLAKE SHELTON,3/17/2018,99,81,I Lived It,6
303,POST MALONE featuring TY DOLLA $IGN,3/10/2018,2,2,Psycho,7
356,6IX9INE,3/10/2018,60,50,Billy,7
380,HIGH VALLEY,3/10/2018,96,79,She's With Me,7
384,LOGIC,3/10/2018,22,22,44 More,5
392,BLAC YOUNGSTA,3/10/2018,81,73,Booty,5
397,TRIPPIE REDD featuring TRAVIS SCOTT,3/10/2018,82,82,Dark Knight Dummo,5
242,KHALID & NORMANI,3/3/2018,43,43,Love Lies,8
292,DANIEL CAESAR featuring KALI UCHIS,3/3/2018,93,93,Get You,3
293,MALUMA x NEGO DO BOREL,3/3/2018,94,93,Corazon,3
296,YBN NAHMIR,3/3/2018,97,85,Rubbin Off The Paint,3
298,KEITH URBAN,3/3/2018,99,99,Female,1
299,BECKY G featuring BAD BUNNY,3/3/2018,100,97,Mayores,2
348,KHALID & NORMANI,3/3/2018,43,43,Love Lies,8
204,BLOCBOY JB featuring DRAKE,2/24/2018,6,5,Look Alive,9
